Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/28/2017,61639,10025,NY,New York,New York,New York,0,1156500,-0.007296137,-0.012382579,0.119771495,0.092084359,,2016-12,2016-Q4,1177400,-0.017750977,2016-11
2/28/2017,84654,60657,IL,Chicago,Cook,Chicago,1,320500,0.000936914,0.006911719,0.023307791,0.04057549,0.000594765,2007-09,2007-Q3,324600,-0.01263093,2007-05
2/28/2017,84616,60614,IL,Chicago,Cook,Chicago,2,417700,0.001438504,0.008693552,0.048443775,0.052506755,0.007845536,2016-12,2016-Q4,417800,-0.000239349,2016-12
2/28/2017,93144,79936,TX,El Paso,El Paso,El Paso,3,115100,0.001740644,0.008764242,0.035071942,0.007462189,-0.010566671,2007-12,2007-Q4,131100,-0.122044241,2006-09
2/28/2017,61616,10002,NY,New York,New York,New York,4,848000,0.004144464,0.010847538,0.144862967,0.101275134,0.038626413,2017-02,2017-Q1,848000,0,2017-02
2/28/2017,84640,60640,IL,Chicago,Cook,Chicago,5,203900,0.005920079,0.020010005,0.039245668,0.044642413,-0.015262362,2007-02,2007-Q1,237800,-0.14255677,2003-05
2/28/2017,91733,77084,TX,Houston,Harris,Houston,6,154700,-0.012132822,-0.034934498,0.031333333,0.07273509,0.019046774,2016-08,2016-Q3,161600,-0.04269802,2016-06
2/28/2017,97564,94109,CA,San Francisco,San Francisco,San Francisco,7,1117300,-0.001429976,0.004946933,-0.03230556,0.108155446,0.034099438,2016-02,2016-Q1,1154600,-0.03230556,2015-11
2/28/2017,90668,75070,TX,Dallas-Fort Worth,Collin,McKinney,8,306200,0.00327654,0.010894685,0.081978799,0.095120188,0.042474359,2017-02,2017-Q1,306200,0,2017-02
2/28/2017,62037,11226,NY,New York,Kings,New York,9,612100,-0.000489876,0.011067063,0.141977612,0.115175645,0.038308236,2017-01,2017-Q1,612400,-0.000489876,2017-01
2/28/2017,91940,77449,TX,Houston,Harris,Cypress,10,156500,-0.013862634,-0.036923077,0.031641397,0.080225793,0.015642707,2016-11,2016-Q4,162500,-0.036923077,2016-06
2/28/2017,61630,10016,NY,New York,New York,New York,11,979400,0.008650875,0.016607847,0.110556752,0.078567962,0.033758312,2017-02,2017-Q1,979400,0,2017-02
2/28/2017,71831,32162,FL,The Villages,Sumter,The Villages,12,248400,0.00120919,0.001612903,0.004854369,0.048739875,-0.001912104,2007-01,2007-Q1,253800,-0.021276596,2006-10
